Lane,"Assembly Type","Total Length","No Contigs","Avg Contig Length","Largest Contig",N50,"Contigs in N50",N60,"Contigs in N60",N70,"Contigs in N70",N80,"Contigs in N80",N90,"Contigs in N90",N100,"Contigs in N100","No scaffolded bases (N)","Total Raw Reads","Reads Mapped","Reads Unmapped","Reads Paired","Reads Unpaired","Total Raw Bases","Total Bases Mapped","Total Bases Mapped (Cigar)","Average Read Length","Maximum Read Length","Average Quality","Insert Size Average","Insert Size Std Dev"
42070_1#322,"Scaffold: SPAdes + Improvement",4647182,89,52215.53,336444,106063,14,93184,19,81169,24,51513,32,34315,42,461,89,21,2184330,2141081,43249,2109250,31831,329833830,323303231,323209961,151,151,35.4,430.7,116.6
42070_1#323,"Scaffold: SPAdes + Improvement",5395233,23,234575.35,1635609,470519,3,399630,5,362911,6,180720,8,141188,11,483,23,572,2269366,2222997,46369,2188760,34237,342674266,335672547,335575309,151,151,35.4,442.9,110.9
42070_1#324,"Scaffold: SPAdes + Improvement",5658791,44,128608.89,1364343,472505,4,387261,5,296169,7,236843,9,165607,11,392,44,759,1742386,1698930,43456,1670068,28862,263100286,256538430,256460877,151,151,35.3,440.8,112.4
42070_1#325,"Scaffold: SPAdes + Improvement",5586306,53,105402.00,925562,420482,5,344532,6,275667,8,200330,11,100781,15,418,53,696,1802404,1766028,36376,1740954,25074,272163004,266670228,266594484,151,151,35.4,426.5,111.0
42070_1#326,"Scaffold: SPAdes + Improvement",5505177,35,157290.77,903873,506065,4,465088,6,312220,7,238635,9,130220,12,384,35,1557,4103256,4027880,75376,3975042,52838,619591656,608209880,608048288,151,151,35.5,401.7,113.9
42070_1#327,"Scaffold: SPAdes + Improvement",5588171,42,133051.69,818342,438824,5,366830,7,365935,8,244612,10,108577,13,450,42,698,2993942,2938927,55015,2899980,38947,452085242,443777977,443657591,151,151,35.5,408.5,110.5
42070_1#328,"Scaffold: SPAdes + Improvement",5366805,28,191671.61,1177838,554933,4,414898,5,376409,6,205282,8,99712,11,412,28,497,3265092,3202401,62691,3157910,44491,493028892,483562551,483425152,151,151,35.4,427.6,107.4
42070_1#329,"Scaffold: SPAdes + Improvement",5583645,40,139591.12,1063236,475531,4,446382,5,365949,6,276511,8,103415,11,394,40,894,3625356,3545478,79878,3490122,55356,547428756,535367178,535210901,151,151,35.3,432.1,107.6
42070_1#330,"Scaffold: SPAdes + Improvement",5395900,25,215836.00,2165429,814522,2,482444,3,477560,4,226017,6,145138,8,404,25,180,4554754,4453223,101531,4387892,65331,687767854,672436673,672246892,151,151,35.4,425.1,109.0
42070_1#331,"Scaffold: SPAdes + Improvement",5617643,80,70220.54,471818,185619,10,172502,13,136978,17,76166,23,53369,31,344,80,53,3843158,3752043,91115,3686280,65763,580316858,566558493,566384968,151,151,35.3,416.0,114.8
42070_1#332,"Scaffold: SPAdes + Improvement",5785109,72,80348.74,945045,370274,4,232483,6,217067,9,149149,12,47689,19,311,72,1583,1622786,1582633,40153,1554976,27657,245040686,238977583,238902786,151,151,35.3,443.0,111.5
42070_1#333,"Scaffold: SPAdes + Improvement",5506533,67,82187.06,920925,351902,6,331647,7,259972,9,145930,12,74859,17,300,67,769,1557458,1516144,41314,1486480,29664,235176158,228937744,228860567,151,151,35.2,442.9,124.4
42070_1#334,"Scaffold: SPAdes + Improvement",5510374,74,74464.51,563921,351622,6,285515,8,255733,10,178631,13,74859,17,320,74,843,1027894,1008373,19521,993836,14537,155211994,152264323,152220623,151,151,35.4,450.5,121.5
42070_1#335,"Scaffold: SPAdes + Improvement",5515308,57,96759.79,767028,351086,6,308975,8,259972,10,134025,13,86644,17,401,57,719,2329684,2280600,49084,2245218,35382,351782284,344370600,344266953,151,151,35.4,454.5,142.6
42070_1#336,"Scaffold: SPAdes + Improvement",5592905,50,111858.10,818340,412453,5,365923,6,353509,8,215924,10,103409,13,324,50,728,2354668,2301858,52810,2264082,37776,355554868,347580558,347479034,151,151,35.3,438.6,111.3
42070_1#337,"Scaffold: SPAdes + Improvement",5412535,33,164016.21,1153602,422218,5,378138,6,345080,8,178690,10,140178,13,431,33,2,3143028,3085350,57678,3045146,40204,474597228,465887850,465764095,151,151,35.5,430.5,112.9
42070_1#338,"Scaffold: SPAdes + Improvement",5595700,45,124348.89,1381487,365109,4,353517,5,289357,7,200579,10,94375,14,324,45,645,4012362,3934415,77947,3878810,55605,605866662,594096665,593928452,151,151,35.4,425.2,108.6
42070_1#339,"Scaffold: SPAdes + Improvement",5700624,67,85083.94,732198,402402,6,288343,8,226945,10,206630,12,99731,17,323,67,467,4027892,3930062,97830,3862134,67928,608211692,593439362,593257670,151,151,35.3,451.7,117.4
42070_1#340,"Scaffold: SPAdes + Improvement",5391436,33,163376.85,814503,482356,5,403056,6,302763,7,204483,10,101294,13,311,33,686,768060,752775,15285,741776,10999,115977060,113669025,113636753,151,151,35.4,425.2,111.0
42070_1#341,"Scaffold: SPAdes + Improvement",5587001,54,103462.98,817743,412112,6,366928,7,289103,9,223953,11,95954,15,305,54,467,1388214,1356541,31673,1335942,20599,209620314,204837691,204779599,151,151,35.4,414.6,108.6
42070_1#342,"Scaffold: SPAdes + Improvement",5388673,34,158490.38,999874,527652,4,477214,5,349249,6,224162,8,143351,11,311,34,338,665668,651038,14630,640852,10186,100515868,98306738,98279219,151,151,35.4,427.4,106.2
42070_1#343,"Scaffold: SPAdes + Improvement",5583420,52,107373.46,724802,365082,6,353501,7,244552,9,200330,12,94346,16,302,52,868,1299962,1273470,26492,1253896,19574,196294262,192293970,192238844,151,151,35.4,429.3,112.4
42070_1#344,"Scaffold: SPAdes + Improvement",5392424,44,122555.09,905989,399124,5,371118,6,369732,7,137439,11,99689,15,311,44,2031,544024,532611,11413,524694,7917,82147624,80424261,80401794,151,151,35.4,421.0,112.9
42070_1#345,"Scaffold: SPAdes + Improvement",5583751,73,76489.74,638380,300614,7,275557,9,231449,11,108071,14,72672,20,301,73,516,761274,746008,15266,734968,11040,114952374,112647208,112614627,151,151,35.4,416.8,111.7
42070_1#346,"Scaffold: SPAdes + Improvement",5320277,84,63336.63,434004,169014,10,145691,13,97458,18,75491,24,43830,34,311,84,341,641262,628857,12405,619790,9067,96830562,94957407,94930609,151,151,35.4,428.9,109.7
42070_1#347,"Scaffold: SPAdes + Improvement",5586013,51,109529.67,818337,365935,6,353263,8,276511,9,204533,12,94360,16,340,51,417,1604510,1569560,34950,1546402,23158,242281010,237003560,236936955,151,151,35.4,424.2,109.7
42070_1#348,"Scaffold: SPAdes + Improvement",5328208,51,104474.67,800497,371862,5,368941,6,349594,8,227198,10,158187,12,309,51,755,828220,808360,19860,793904,14456,125061220,122062360,122025168,151,151,35.3,433.2,112.1
42070_1#349,"Scaffold: SPAdes + Improvement",5585644,43,129898.70,689121,437913,6,412112,7,373331,8,263364,10,94356,14,520,43,792,1541598,1508758,32840,1485946,22812,232781298,227822458,227756496,151,151,35.4,442.8,111.1
42070_1#350,"Scaffold: SPAdes + Improvement",5327243,73,72975.93,433819,164975,10,151765,14,111619,18,85197,23,51392,30,310,73,267,2779412,2734275,45137,2700490,33785,419691212,412875525,412765982,151,151,35.5,409.0,112.6
42070_1#351,"Scaffold: SPAdes + Improvement",5587057,50,111741.14,1068199,444085,5,415465,6,344532,8,263364,9,94361,14,323,50,680,2567006,2517238,49768,2481662,35576,387617906,380102938,379996472,151,151,35.4,405.4,114.8
42070_1#352,"Scaffold: SPAdes + Improvement",5714745,54,105828.61,1521750,488895,3,375174,5,371282,6,262705,8,129905,11,320,54,564,3547530,3471780,75750,3417996,53784,535677030,524238780,524083511,151,151,35.4,439.7,109.1
42070_1#353,"Scaffold: SPAdes + Improvement",5586324,53,105402.34,1366031,353778,4,275667,6,244217,8,200446,10,94351,15,305,53,900,1949610,1908982,40628,1880876,28106,294391110,288256282,288174157,151,151,35.4,417.1,110.4
42070_1#354,"Scaffold: SPAdes + Improvement",5337466,23,232063.74,1723277,725506,3,725506,3,373365,5,354810,6,189937,8,315,23,628,3807414,3714535,92879,3655004,59531,574919514,560894785,560730179,151,151,35.4,435.6,111.3
42070_1#355,"Scaffold: SPAdes + Improvement",5205177,83,62712.98,279000,129526,14,113316,18,91850,23,61764,30,34075,42,419,83,560,4361300,4268654,92646,4203034,65620,658556300,644566754,644378522,151,151,35.4,428.1,106.9
42070_1#356,"Scaffold: SPAdes + Improvement",5510953,72,76541.01,766673,351725,6,286830,8,207843,10,134221,14,64095,20,320,72,687,1529288,1493523,35765,1468970,24553,230922488,225521973,225453937,151,151,35.3,444.0,125.9
42070_1#357,"Scaffold: SPAdes + Improvement",5512613,75,73501.51,920479,350918,6,331869,7,260173,9,160456,12,74859,17,304,75,512,1304528,1274374,30154,1254470,19904,196983728,192430474,192373591,151,151,35.4,430.8,111.9
42070_1#358,"Scaffold: SPAdes + Improvement",5503312,93,59175.40,440590,297032,8,285621,10,176990,12,110430,16,52389,23,313,93,602,626356,611689,14667,601070,10619,94579756,92365039,92336391,151,151,35.3,449.2,123.8
42070_1#359,"Scaffold: SPAdes + Improvement",5511362,58,95023.48,864815,351741,5,285621,7,207843,9,145930,12,74859,17,401,58,739,1827450,1786325,41125,1756732,29593,275944950,269735075,269651333,151,151,35.3,449.4,125.8
42070_1#360,"Scaffold: SPAdes + Improvement",5509740,74,74455.95,766480,350952,6,313045,8,259774,10,154491,13,74859,18,312,74,945,1424110,1390109,34001,1363598,26511,215040610,209906459,209834594,151,151,35.2,436.1,117.5
42070_1#361,"Scaffold: SPAdes + Improvement",5727139,49,116880.39,611178,375356,6,280575,8,225712,10,145505,13,57393,19,311,49,339,1941846,1901822,40024,1873030,28792,293218746,287175122,287093734,151,151,35.4,420.0,110.2
42070_1#362,"Scaffold: SPAdes + Improvement",5596212,43,130144.47,1063007,444822,4,439051,5,365101,7,215928,9,103590,12,345,43,360,3793662,3715325,78337,3660590,54735,572842962,561014075,560854592,151,151,35.4,432.5,109.0
42070_1#363,"Scaffold: SPAdes + Improvement",5702253,68,83856.66,732356,290824,7,259975,9,231452,11,206630,13,74859,19,512,68,1503,3855074,3767100,87974,3708940,58160,582116174,568832100,568665533,151,151,35.4,422.5,113.5
42070_2#1,"Scaffold: SPAdes + Improvement",5839201,101,57813.87,660914,337364,7,325363,8,284805,10,197170,13,86765,18,347,101,1355,1289804,1259783,30021,1238716,21067,194760404,190227233,190168677,151,151,35.3,411.7,104.4
42070_2#2,"Scaffold: SPAdes + Improvement",5420015,63,86031.98,1018859,335804,6,312797,7,217671,9,128309,13,92971,18,323,63,812,1842360,1798582,43778,1767024,31558,278196360,271585882,271499903,151,151,35.3,411.2,111.0
42070_2#3,"Scaffold: SPAdes + Improvement",5247539,35,149929.69,866747,376022,5,307188,7,228840,9,215089,11,94321,15,401,35,340,1828686,1787792,40894,1760194,27598,276131586,269956592,269875962,151,151,35.3,421.9,102.2
42070_2#4,"Scaffold: SPAdes + Improvement",5648599,65,86901.52,973364,358562,5,322246,7,204695,9,117232,12,68612,19,301,65,1037,1116164,1093385,22779,1077934,15451,168540764,165101135,165054651,151,151,35.4,404.9,105.8
42070_2#5,"Scaffold: SPAdes + Improvement",5560104,62,89679.10,391180,270620,9,191181,12,118671,16,96086,21,69480,28,347,62,1020,1942942,1897305,45637,1865048,32257,293384242,286493055,286402588,151,151,35.3,430.9,104.2
42070_2#6,"Scaffold: SPAdes + Improvement",5649760,52,108649.23,972297,356813,5,328707,7,322246,8,186312,11,117232,15,311,52,1512,1739358,1695142,44216,1665032,30110,262643058,255966442,255885341,151,151,35.3,401.4,107.3
42070_2#7,"Scaffold: SPAdes + Improvement",5543477,87,63718.13,586130,222894,8,212396,10,190409,13,124301,17,60872,23,318,87,379,735204,716750,18454,703826,12924,111015804,108229250,108193402,151,151,35.2,428.0,106.2
42070_2#8,"Scaffold: SPAdes + Improvement",5296117,36,147114.36,850342,416445,5,376085,6,238848,8,143989,10,86820,15,311,36,680,1161662,1136360,25302,1118546,17814,175410962,171590360,171539866,151,151,35.4,420.2,110.1
42070_2#9,"Scaffold: SPAdes + Improvement",5556008,64,86812.62,612040,196582,9,189210,11,131422,15,99731,20,79443,26,303,64,759,1671308,1634980,36328,1609626,25354,252367508,246881980,246807481,151,151,35.4,434.3,107.4
42070_2#10,"Scaffold: SPAdes + Improvement",5646056,58,97345.79,1226869,356518,5,328632,6,299051,8,135840,11,86919,16,377,58,1359,1152576,1127029,25547,1108714,18315,174038976,170181379,170129699,151,151,35.3,413.4,106.9
42070_2#11,"Scaffold: SPAdes + Improvement",5445282,69,78917.13,517731,203967,9,171855,12,124223,15,96301,21,67719,27,359,69,1113,1735836,1695047,40789,1666158,28889,262111236,255952097,255869244,151,151,35.3,424.4,102.3
42070_2#12,"Scaffold: SPAdes + Improvement",5646710,58,97357.07,972195,356018,6,322246,8,204695,10,144598,13,78013,18,311,58,1973,1461942,1429427,32515,1407330,22097,220753242,215843477,215778751,151,151,35.4,404.7,104.5
42070_2#13,"Scaffold: SPAdes + Improvement",5387698,56,96208.89,890372,394497,5,355748,7,332332,8,233253,10,69137,15,324,56,1070,1085354,1058167,27187,1039678,18489,163888454,159783217,159732551,151,151,35.3,423.7,106.2
42070_2#14,"Scaffold: SPAdes + Improvement",5696958,80,71211.98,829758,304780,6,259971,8,226541,10,206613,12,86638,17,401,80,1022,1128394,1101511,26883,1082242,19269,170387494,166328161,166275615,151,151,35.3,415.8,111.5
42070_2#15,"Scaffold: SPAdes + Improvement",5914316,100,59143.16,694798,313905,7,273822,9,203691,12,99753,16,50764,23,388,100,1687,1813002,1769551,43451,1740612,28939,273763302,267202201,267120566,151,151,35.3,428.2,111.3
42070_2#16,"Scaffold: SPAdes + Improvement",5649097,51,110766.61,1161962,446886,4,356025,6,325399,7,198781,10,73705,14,311,51,1500,2531904,2477528,54376,2442060,35468,382317504,374106728,373998980,151,151,35.4,404.7,105.7
42070_2#17,"Scaffold: SPAdes + Improvement",6155768,105,58626.36,799076,298924,7,239462,10,224054,12,109093,16,35452,26,319,105,1430,1821334,1777529,43805,1746826,30703,275021434,268406879,268322289,151,151,35.3,399.9,104.0
42070_2#18,"Scaffold: SPAdes + Improvement",5505671,89,61861.47,791962,364182,6,277988,8,249833,10,95060,13,37781,22,321,89,4,2042502,1996446,46056,1964308,32138,308417802,301463346,301370426,151,151,35.3,423.4,105.9
42070_2#19,"Scaffold: SPAdes + Improvement",4985818,38,131205.74,1065379,377400,4,225806,6,179039,8,149374,11,63191,17,365,38,403,1797570,1760112,37458,1734302,25810,271433070,265776912,265700018,151,151,35.4,428.3,107.3
42070_2#20,"Scaffold: SPAdes + Improvement",6261604,104,60207.73,1090993,237020,7,205465,10,154307,14,130656,18,55243,25,305,104,76,932752,911451,21301,896870,14581,140845552,137629101,137586727,151,151,35.3,419.9,103.1
42070_2#21,"Scaffold: SPAdes + Improvement",5519940,63,87618.10,565485,335542,7,260129,9,224575,11,149603,14,99721,18,328,63,664,1138634,1112764,25870,1095044,17720,171933734,168027364,167976662,151,151,35.3,408.9,105.3
42070_2#22,"Scaffold: SPAdes + Improvement",5107241,17,300425.94,2690778,2690778,1,397646,2,369559,4,328409,5,236319,7,454,17,595,1724910,1678948,45962,1649648,29300,260461410,253521148,253443797,151,151,35.2,421.0,104.2
42070_2#23,"Scaffold: SPAdes + Improvement",4749459,46,103249.11,495305,217918,8,185687,11,149422,14,114363,17,60766,23,433,46,760,1212932,1186436,26496,1167560,18876,183152732,179151836,179098027,151,151,35.3,421.9,106.0
42070_2#24,"Scaffold: SPAdes + Improvement",5506632,97,56769.40,465922,364182,7,276860,9,250143,11,94815,14,37781,23,311,97,425,1575114,1542990,32124,1520002,22988,237842214,232991490,232922311,151,151,35.4,394.2,101.7
42070_2#26,"Scaffold: SPAdes + Improvement",5618983,73,76972.37,508886,231533,9,181561,12,136944,15,86678,20,56834,28,344,73,797,1914260,1872329,41931,1842346,29983,289053260,282721679,282636598,151,151,35.3,414.3,101.6
42070_2#27,"Scaffold: SPAdes + Improvement",5540074,49,113062.73,516962,367905,7,348920,8,289207,10,242115,12,105303,15,312,49,1297,1004324,980704,23620,965600,15104,151652924,148086304,148043040,151,151,35.4,396.9,108.2
42070_2#28,"Scaffold: SPAdes + Improvement",5679380,44,129076.82,602026,324672,7,254249,9,242208,11,205535,14,86499,18,311,44,357,2289524,2250590,38934,2222876,27714,345718124,339839090,339747684,151,151,35.5,378.8,100.8
42070_2#29,"Scaffold: SPAdes + Improvement",5601872,50,112037.44,1293999,390889,4,362412,6,293306,7,204081,10,77934,14,364,50,126,1418816,1387219,31597,1366216,21003,214241216,209470069,209408554,151,151,35.4,393.2,105.8
42070_2#30,"Scaffold: SPAdes + Improvement",5583306,93,60035.55,561052,285756,7,254940,10,227240,12,107334,15,86638,20,309,93,1093,1141178,1116354,24824,1100532,15822,172317878,168569454,168521883,151,151,35.4,407.1,101.4
42070_2#31,"Scaffold: SPAdes + Improvement",5884113,58,101450.22,1029641,349192,5,315837,7,242097,9,112976,13,92506,18,310,58,1352,989388,964068,25320,947068,17000,149397588,145574268,145527299,151,151,35.3,412.2,108.3
42070_2#32,"Scaffold: SPAdes + Improvement",5680278,43,132099.49,650293,375360,6,372360,7,242091,10,217650,12,86499,16,311,43,267,2381936,2326847,55089,2287470,39377,359672336,351353897,351245499,151,151,35.3,411.2,102.9
42070_2#33,"Scaffold: SPAdes + Improvement",5686344,48,118465.50,1475258,420506,4,392475,5,256236,7,104436,10,73196,16,319,48,446,2233344,2178974,54370,2142790,36184,337234944,329025074,328923218,151,151,35.3,408.6,103.0
42070_2#34,"Scaffold: SPAdes + Improvement",5702089,73,78110.81,732340,380848,6,309671,8,259971,10,219912,12,86638,17,417,73,1152,2476402,2418296,58106,2377194,41102,373936702,365162696,365048785,151,151,35.3,417.1,110.4
42070_2#35,"Scaffold: SPAdes + Improvement",5764815,64,90075.23,773412,363963,5,353595,7,266482,8,203099,11,99455,15,341,64,462,2212256,2166553,45703,2134174,32379,334050656,327149503,327051005,151,151,35.4,400.7,101.9
42070_2#36,"Scaffold: SPAdes + Improvement",5587132,55,101584.22,1063218,365935,6,353506,7,244756,9,137025,12,94346,16,340,55,401,1314660,1276751,37909,1252696,24055,198513660,192789401,192725732,151,151,35.2,426.6,104.4
42070_2#37,"Scaffold: SPAdes + Improvement",5760386,63,91434.70,773279,361002,6,266482,8,231431,10,167756,13,100778,18,321,63,1003,1393802,1354564,39238,1328804,25760,210464102,204539164,204471981,151,151,35.2,417.7,103.3
42070_2#38,"Scaffold: SPAdes + Improvement",5587149,44,126980.66,818214,365935,6,365082,7,276511,9,215924,11,94363,15,381,44,747,1882464,1831216,51248,1795306,35910,284252064,276513616,276418833,151,151,35.2,432.4,106.9
42070_2#39,"Scaffold: SPAdes + Improvement",5562658,69,80618.23,829015,350827,5,349828,6,270033,8,192323,11,68369,16,384,69,464,1526414,1487325,39089,1459486,27839,230488514,224586075,224508588,151,151,35.2,423.8,105.5
42070_2#40,"Scaffold: SPAdes + Improvement",5566820,52,107054.23,992147,240529,5,214910,8,178688,11,141127,14,86623,19,543,52,338,1789062,1743394,45668,1712124,31270,270148362,263252494,263169330,151,151,35.3,416.8,105.7
42070_2#41,"Scaffold: SPAdes + Improvement",5791787,74,78267.39,754477,355242,7,289597,8,282561,10,149625,13,86765,18,378,74,753,1187324,1159727,27597,1140312,19415,179285924,175118777,175062586,151,151,35.3,421.8,101.9
42070_2#42,"Scaffold: SPAdes + Improvement",5587209,58,96331.19,818302,353501,6,275667,8,244612,10,200330,12,94346,17,341,58,678,1617956,1586539,31417,1563004,23535,244311356,239567389,239492747,151,151,35.4,387.1,102.0
42070_2#43,"Scaffold: SPAdes + Improvement",5371706,35,153477.31,918573,350859,6,349991,7,301465,9,285513,10,110750,13,378,35,1026,1178782,1155457,23325,1139282,16175,177996082,174474007,174423638,151,151,35.4,403.9,103.9
42070_2#44,"Scaffold: SPAdes + Improvement",5486025,40,137150.62,1559708,463888,4,444694,5,372901,6,350157,8,134297,10,300,40,798,1680320,1640535,39785,1611802,28733,253728320,247720785,247641376,151,151,35.3,421.1,105.2
42070_2#45,"Scaffold: SPAdes + Improvement",5372057,39,137745.05,619168,350738,6,325087,8,298860,10,251171,12,101393,15,401,39,1523,809134,793405,15729,782196,11209,122179234,119804155,119769185,151,151,35.4,398.3,104.5
42070_2#46,"Scaffold: SPAdes + Improvement",5616811,55,102123.84,440074,254033,9,242018,11,193213,14,124180,17,86499,22,311,55,331,1551980,1506281,45699,1476270,30011,234348980,227448431,227369485,151,151,35.2,420.7,107.6
42070_2#47,"Scaffold: SPAdes + Improvement",5764600,109,52886.24,625402,227740,8,200595,10,141693,14,57520,20,31308,33,314,109,1394,1859596,1812858,46738,1781602,31256,280798996,273741558,273654588,151,151,35.3,421.6,102.9
42070_2#48,"Scaffold: SPAdes + Improvement",5693824,106,53715.32,525971,275196,8,227763,10,205533,13,102583,17,34721,25,300,106,1088,2448690,2385337,63353,2344240,41097,369752190,360185887,360063711,151,151,35.4,371.7,105.5
42070_2#50,"Scaffold: SPAdes + Improvement",5678369,45,126185.98,610975,339876,7,260765,9,205535,12,148257,15,94763,19,311,45,331,1710684,1668809,41875,1639952,28857,258313284,251990159,251911850,151,151,35.3,426.1,103.2
42070_2#52,"Scaffold: SPAdes + Improvement",5677254,41,138469.61,612080,372175,6,254174,8,217650,11,205535,13,86499,18,311,41,339,1740744,1701605,39139,1673566,28039,262852344,256942355,256863866,151,151,35.3,429.1,104.8
42070_2#53,"Scaffold: SPAdes + Improvement",5459068,35,155973.37,1101145,480809,4,367480,5,353564,7,264318,9,86896,13,311,35,183,1746212,1700276,45936,1672058,28218,263678012,256741676,256664389,151,151,35.3,403.5,108.1
42070_2#54,"Scaffold: SPAdes + Improvement",5678239,40,141955.98,612905,337631,7,254033,9,207856,11,148257,14,86499,19,311,40,98,1643380,1602543,40837,1575092,27451,248150380,241983993,241909197,151,151,35.3,424.7,105.3
42070_2#55,"Scaffold: SPAdes + Improvement",5765608,45,128124.62,1462757,487706,4,399084,5,389547,7,317877,8,91361,12,324,45,1292,1640522,1598325,42197,1570632,27693,247718822,241347075,241271363,151,151,35.2,419.9,103.7
42070_2#56,"Scaffold: SPAdes + Improvement",5676873,43,132020.30,652358,289086,7,246655,9,217650,11,202912,14,86499,18,311,43,340,1306570,1274346,32224,1252154,22192,197292070,192426246,192367086,151,151,35.3,428.1,104.7
42070_2#57,"Scaffold: SPAdes + Improvement",5297385,44,120395.11,989547,757077,3,376968,5,370024,6,243947,8,102173,10,306,44,742,1369594,1337982,31612,1315758,22224,206808694,202035282,201973047,151,151,35.3,417.0,100.8
42070_2#58,"Scaffold: SPAdes + Improvement",5584885,67,83356.49,466612,270690,8,233392,10,194364,13,179260,16,77046,22,305,67,1034,1411122,1383682,27440,1364112,19570,213079422,208935982,208875006,151,151,35.4,387.8,108.8
42070_2#59,"Scaffold: SPAdes + Improvement",5679366,48,118320.12,818440,343414,6,288331,8,242314,10,148257,13,86499,18,321,48,76,2130732,2085328,45404,2054052,31276,321740532,314884528,314791256,151,151,35.4,376.8,105.9
42070_2#60,"Scaffold: SPAdes + Improvement",5677084,46,123414.87,611190,327488,7,254033,9,207326,12,142700,15,86499,20,416,46,96,2023980,1981285,42695,1951666,29619,305620980,299174035,299086804,151,151,35.4,384.9,100.8
42070_2#61,"Scaffold: SPAdes + Improvement",5712947,54,105795.31,1559231,462573,3,374630,4,358838,6,184141,8,94564,12,385,54,2260,1613090,1574251,38839,1547386,26865,243576590,237711901,237639098,151,151,35.3,409.0,105.7
42070_2#62,"Scaffold: SPAdes + Improvement",5757967,51,112901.31,769505,294067,6,231539,9,215347,11,147212,14,71548,20,312,51,517,1505294,1462951,42343,1433366,29585,227299394,220905601,220832151,151,151,35.1,432.2,102.8
42070_2#63,"Scaffold: SPAdes + Improvement",5489159,67,81927.75,1122714,378288,5,332246,6,315678,8,222374,10,82235,16,378,67,343,2269328,2215178,54150,2176306,38872,342668528,334491878,334382558,151,151,35.3,401.8,105.5
42070_2#64,"Scaffold: SPAdes + Improvement",5733882,289,19840.42,1140487,374299,5,298820,7,202168,9,142868,13,99182,18,300,289,1928,2153614,2097846,55768,2061784,36062,325195714,316774746,316671556,151,151,35.3,424.3,103.1
42070_2#65,"Scaffold: SPAdes + Improvement",5763286,63,91480.73,658603,355338,7,325359,8,243640,10,150026,13,77649,19,341,63,1589,1589322,1552596,36726,1528320,24276,239987622,234441996,234372878,151,151,35.3,426.9,102.7
42070_2#66,"Scaffold: SPAdes + Improvement",5587793,45,124173.18,1063232,412554,5,365082,7,353501,8,200446,11,97701,15,525,45,442,2548252,2482394,65858,2437942,44452,384786052,374841494,374721358,151,151,35.3,425.1,104.9
42070_2#67,"Scaffold: SPAdes + Improvement",5393443,40,134836.08,597471,347059,6,216077,9,176720,11,121546,15,86484,20,301,40,187,2060562,2014559,46003,1981114,33445,311144862,304198409,304103205,151,151,35.3,429.0,105.7
42070_2#68,"Scaffold: SPAdes + Improvement",5587454,46,121466.39,1062831,446410,4,365935,6,365082,7,238294,9,103426,12,367,46,419,2003826,1953103,50723,1918582,34521,302577726,294918553,294823822,151,151,35.2,434.1,105.7
42070_2#69,"Scaffold: SPAdes + Improvement",5599090,80,69988.62,927308,304312,5,214972,7,162854,10,140833,14,56478,20,313,80,190,2150080,2090550,59530,2051030,39520,324662080,315673050,315569685,151,151,35.2,404.5,103.3
42070_2#70,"Scaffold: SPAdes + Improvement",5700177,78,73079.19,797274,309164,6,280584,8,219136,10,110371,14,41645,21,413,78,184,1521690,1473287,48403,1438432,34855,229775190,222466337,222385116,151,151,35.2,419.1,106.4
42070_2#71,"Scaffold: SPAdes + Improvement",5831352,65,89713.11,1058982,378207,5,367365,7,350218,8,197166,11,94356,15,386,65,1270,2145982,2092211,53771,2055550,36661,324043282,315923861,315823330,151,151,35.2,423.6,102.7
42070_2#72,"Scaffold: SPAdes + Improvement",5588897,46,121497.76,1062832,365935,5,365090,6,276511,8,200451,11,103451,15,378,46,766,2372688,2311329,61359,2267496,43833,358275888,349010679,348894488,151,151,35.3,426.2,106.9
42070_2#73,"Scaffold: SPAdes + Improvement",5394840,36,149856.67,710268,325068,7,244292,9,213222,11,174513,14,99503,17,326,36,461,2460520,2405750,54770,2370182,35568,371538520,363268250,363164873,151,151,35.4,398.4,102.9
42070_2#74,"Scaffold: SPAdes + Improvement",5650017,25,226000.68,1069103,566249,4,541026,5,469049,6,360220,8,157505,11,394,25,579,1710902,1664209,46693,1634586,29623,258346202,251295559,251216874,151,151,35.3,406.2,105.2
42070_2#75,"Scaffold: SPAdes + Improvement",5617368,35,160496.23,1357421,372284,5,356388,6,325338,8,243874,10,109391,13,401,35,1262,2319724,2260453,59271,2219628,40825,350278324,341328403,341219781,151,151,35.2,407.6,102.1
42070_2#76,"Scaffold: SPAdes + Improvement",5588308,48,116423.08,874656,439196,5,344532,7,275759,9,200465,11,100781,15,309,48,672,2454224,2393322,60902,2351644,41678,370587824,361391622,361280042,151,151,35.3,417.3,105.5
42070_2#77,"Scaffold: SPAdes + Improvement",5548266,45,123294.80,927410,360211,6,203484,8,161289,11,140635,14,86843,20,361,45,430,1993482,1949566,43916,1919082,30484,301015782,294384466,294294954,151,151,35.4,411.8,101.8
42070_2#78,"Scaffold: SPAdes + Improvement",5587362,43,129938.65,880815,446268,4,365089,6,350460,7,243818,9,108566,12,520,43,890,2442306,2383504,58802,2342100,41404,368788206,359909104,359794365,151,151,35.3,415.7,104.5
42070_2#79,"Scaffold: SPAdes + Improvement",5847534,111,52680.49,627585,246141,9,148681,13,128356,17,86208,23,46247,31,358,111,776,2075240,2022734,52506,1987492,35242,313361240,305432834,305333641,151,151,35.3,418.3,101.8
